,top5_ans,top_ans,sampled_ans,mass_ans,raw_true_mass,raw_false_mass,norm_true_mass,concept,uid,answers,object
0,"[' True', ' False', ' true', "" '"", ' false']", True,1,True,0.6621898412704468,0.2161002904176712,0.7539533972740173,hg53,gemma2b-pretrained,False,small green circle
1,"[' True', ' False', ' true', ' false', '  ']", True,0,True,0.692966639995575,0.30196356773376465,0.6964977383613586,hg53,gemma2b-pretrained,False,medium green circle
2,"[' True', ' False', ' false', 'True', ' true']", True,1,True,0.5198946595191956,0.4772988557815552,0.5213578343391418,hg53,gemma2b-pretrained,False,medium blue rectangle
3,"[' False', ' True', ' false', 'False', '  ']", False,1,False,0.4301754832267761,0.5674766898155212,0.43118783831596375,hg53,gemma2b-pretrained,False,small yellow triangle
4,"[' True', ' False', '  ', 'True', 'False']", True,1,True,0.6843405365943909,0.31322768330574036,0.6860087513923645,hg53,gemma2b-pretrained,False,medium green triangle
5,"[' True', ' False', '  ', 'True', ' true']", True,0,True,0.7047452926635742,0.2922264039516449,0.7068859338760376,hg53,gemma2b-pretrained,False,large green triangle
6,"[' False', ' True', ' false', 'False', '  ']", False,0,False,0.26796332001686096,0.7303312420845032,0.26842108368873596,hg53,gemma2b-pretrained,False,medium blue circle
7,"[' False', ' True', ' false', 'False', '  ']", False,0,False,0.20285214483737946,0.7960909605026245,0.20306676626205444,hg53,gemma2b-pretrained,False,large yellow rectangle
8,"[' False', ' True', '  ', 'False', ' false']", False,1,False,0.3600204288959503,0.6385010480880737,0.3605535328388214,hg53,gemma2b-pretrained,False,large green circle
9,"[' False', ' True', 'False', ' false', '  ']", False,0,False,0.17263779044151306,0.8260686993598938,0.17286139726638794,hg53,gemma2b-pretrained,False,large blue rectangle
10,"[' False', ' True', ' false', 'False', '  ']", False,0,False,0.14794884622097015,0.8511590361595154,0.1480809450149536,hg53,gemma2b-pretrained,False,small yellow rectangle
11,"[' False', ' True', ' false', '  ', 'False']", False,0,False,0.15602163970470428,0.8427249193191528,0.15621744096279144,hg53,gemma2b-pretrained,False,small yellow triangle
12,"[' False', ' True', ' false', 'False', '  ']", False,0,False,0.1313842386007309,0.8677399754524231,0.13149939477443695,hg53,gemma2b-pretrained,False,medium green triangle
13,"[' False', ' True', ' false', 'False', '  ']", False,0,False,0.06837143748998642,0.931128978729248,0.06840561330318451,hg53,gemma2b-pretrained,False,medium yellow rectangle
14,"[' False', ' True', '  ', ' false', 'False']", False,0,False,0.17264620959758759,0.8261688947677612,0.17285101115703583,hg53,gemma2b-pretrained,False,large green circle
15,"[' False', ' True', ' false', '  ', 'False']", False,0,False,0.08790204674005508,0.9111987948417664,0.08798115700483322,hg53,gemma2b-pretrained,False,medium blue rectangle
16,"[' False', ' True', ' false', '  ', 'False']", False,0,False,0.09396771341562271,0.9052978157997131,0.0940367802977562,hg53,gemma2b-pretrained,False,small blue rectangle
17,"[' False', ' True', ' false', '  ', 'False']", False,0,False,0.14516133069992065,0.8539917469024658,0.14528436958789825,hg53,gemma2b-pretrained,False,small green rectangle
18,"[' False', ' True', ' false', 'False', '  ']", False,0,False,0.05867086723446846,0.9408126473426819,0.05870118364691734,hg53,gemma2b-pretrained,False,medium blue circle
19,"[' False', ' True', ' false', 'False', '  ']", False,0,False,0.060053132474422455,0.9394688606262207,0.060081854462623596,hg53,gemma2b-pretrained,False,medium yellow rectangle
20,"[' False', ' True', ' false', '  ', 'False']", False,0,False,0.07103682309389114,0.9285122156143188,0.07106887549161911,hg53,gemma2b-pretrained,False,large blue triangle
21,"[' False', ' True', 'False', '  ', ' false']", False,0,False,0.10079525411128998,0.8982892036437988,0.10088761895895004,hg53,gemma2b-pretrained,False,large yellow rectangle
22,"[' False', ' True', ' false', '  ', 'False']", False,0,False,0.20665258169174194,0.790753185749054,0.20719008147716522,hg53,gemma2b-pretrained,False,medium blue rectangle
