,Unnamed: 0,concept,is_bool,item_num,set_num,answer,hyes,hno,p(yes),lambda_rule,rule_expression,manual_code,object,model_answer,concept_num,set,code_eval,human_lq,chance,coverage_manual_code,full_coverage_manual_code,consistency
0,968,hg01,True,0,0,1,16,6,0.3564421919421647,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium yellow triangle,False,hg01,1,True,0.9971590909090908,1.0,,1.0,False
1,969,hg01,True,1,1,1,14,8,0.4749728658866843,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small yellow circle,False,hg01,2,True,0.9971590909090908,1.0,1.0,1.0,False
2,970,hg01,True,2,2,1,5,17,0.5797109561979141,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium green triangle,True,hg01,3,True,0.9971590909090908,1.0,1.0,1.0,True
3,971,hg01,True,3,2,1,22,0,0.5999404287263131,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large yellow circle,True,hg01,3,True,0.9971590909090908,1.0,1.0,1.0,True
4,972,hg01,True,4,2,1,1,21,0.5978018693964486,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small green rectangle,True,hg01,3,True,0.9971590909090908,1.0,1.0,1.0,True
5,973,hg01,True,5,2,1,21,1,0.5864830730599805,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large yellow triangle,True,hg01,3,True,0.9971590909090908,1.0,1.0,1.0,True
6,974,hg01,True,6,3,1,18,4,0.8583975171284237,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small green circle,True,hg01,4,True,0.9971590909090908,1.0,1.0,1.0,True
7,975,hg01,True,7,3,1,11,11,0.6752903806825543,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue rectangle,True,hg01,4,True,0.9971590909090908,1.0,1.0,1.0,True
8,976,hg01,True,8,3,1,22,0,0.8546957878901366,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small yellow circle,True,hg01,4,True,0.9971590909090908,1.0,1.0,1.0,True
9,977,hg01,True,9,3,1,22,0,0.9038000386379962,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium yellow triangle,True,hg01,4,True,0.9971590909090908,1.0,1.0,1.0,True
10,978,hg01,True,10,4,1,22,0,0.8689251794479559,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small green circle,True,hg01,5,True,0.9971590909090908,1.0,1.0,1.0,True
11,979,hg01,True,11,5,1,21,1,0.8188312027326674,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue triangle,True,hg01,6,True,0.9971590909090908,1.0,1.0,1.0,True
12,980,hg01,True,12,5,1,20,2,0.7648279939641042,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue circle,True,hg01,6,True,0.9971590909090908,1.0,1.0,1.0,True
13,981,hg01,True,13,5,1,22,0,0.8588563406214007,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large green triangle,True,hg01,6,True,0.9971590909090908,1.0,1.0,1.0,True
14,982,hg01,True,14,6,1,22,0,0.8844442012325544,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large blue triangle,True,hg01,7,True,0.9971590909090908,1.0,1.0,1.0,True
15,983,hg01,True,15,7,1,22,0,0.9416000768222827,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small blue triangle,True,hg01,8,True,0.9971590909090908,1.0,1.0,1.0,True
16,984,hg01,True,16,7,1,22,0,0.7894579328255986,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small yellow rectangle,True,hg01,8,True,0.9971590909090908,1.0,1.0,1.0,True
17,985,hg01,True,17,8,1,22,0,0.9688369942246026,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small blue triangle,True,hg01,9,True,0.9971590909090908,1.0,1.0,1.0,True
18,986,hg01,True,18,9,1,22,0,0.9089024538925514,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large green triangle,True,hg01,10,True,0.9971590909090908,1.0,1.0,1.0,True
19,987,hg01,True,19,9,1,22,0,0.9594156774943484,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue triangle,True,hg01,10,True,0.9971590909090908,1.0,1.0,1.0,True
20,988,hg01,True,20,10,1,22,0,0.8004136175937901,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large green circle,True,hg01,11,True,0.9971590909090908,1.0,1.0,1.0,True
